date,a2c,ddpg,ppo,td3,sac,mvo,dji
2020-11-05,1105239.5692476046,1132773.0127612269,1059196.230426007,1140098.2640095486,1099279.6693953285,1216977.4326872204,1103174.634495823
2020-11-06,1103895.6475366366,1127134.7295924341,1059679.2476921012,1135042.6736889614,1093977.393707157,1212401.6083787228,1100578.9932242082
2020-11-09,1138129.2165292513,1160798.5979968226,1080287.2144998556,1156649.8609600796,1135705.3370207557,1200746.619061999,1133009.5201088013
2020-11-10,1158089.6972574007,1167123.4607630884,1088035.4392444121,1167802.8245869412,1148912.959976078,1199061.5021568525,1143225.1948950845
2020-11-11,1153243.5219606173,1165910.9826632654,1092613.4115164916,1168747.8042660488,1143505.9529036293,1218325.7991280416,1142319.7827618031
2020-11-12,1142214.011000992,1157015.9726992762,1075653.110231736,1156932.0141278042,1131778.8146055946,1211769.2926896724,1129986.3694870798
2020-11-13,1159465.3145440829,1174298.1025935328,1091521.8285587165,1173339.0953923,1149754.0982970009,1215282.5240855555,1145513.9219448222
2020-11-16,1168279.797431351,1193370.5185290491,1112744.9050954483,1196896.8859387173,1171710.3459929237,1224094.346861173,1163800.2871818535
2020-11-17,1164130.5561555636,1189445.0670367396,1113138.9608970382,1193556.191865994,1167411.6089476356,1212924.5542234932,1157311.0701622304
2020-11-18,1151500.2893594515,1175055.3420611536,1096681.7642345931,1179356.1586018337,1153882.0407408485,1199100.0174147498,1143905.2026666019
2020-11-19,1154081.1111253512,1178233.1668101465,1099427.8863610197,1184268.1507435574,1152513.7985533485,1202452.5253723597,
2020-11-20,1152475.4575074923,1168547.701581112,1088606.9082792518,1171868.9839535488,1143567.6337355385,1188816.3998823422,1137108.9955313776
2020-11-23,1162217.1163209688,1183073.4308749354,1104544.8841734359,1189529.7018299832,1162729.6592634926,1178770.504708779,1149846.5428890616
2020-11-24,1175492.075793625,1202570.0336314356,1122217.9527732322,1207381.3716603054,1183725.8704832802,1189755.3145227237,1167522.7984748397
2020-11-25,1168762.6778329622,1192924.4893008387,1120607.1179614188,1192692.4562130703,1180388.7456282387,1186943.1627515457,1160773.2659801827
2020-11-27,1166951.4797967684,1195002.8303195154,1121756.8608946693,1196824.560766293,1180795.5652922401,1194021.586960314,1162245.9837040994
2020-11-30,1153316.1788629305,1181318.5478335535,1112813.3257318083,1186462.3578739895,1173016.3717116127,1202983.6517238629,1151684.461215271
2020-12-01,1163146.8233789217,1189592.7604304468,1119836.7764562499,1188052.968111111,1180033.9810866127,1218933.3000264156,
2020-12-02,1169559.31212175,1192669.8780909693,1127554.7896049048,1182432.1451206936,1191273.9843825111,1209813.4952961642,1161212.3870701378
2020-12-03,1171254.467200638,1197149.6521006739,1137200.3194000327,1189744.0444966091,1195164.7682570228,1205571.42400621,1164542.451913736
2020-12-04,1189369.3410600435,1206937.6419001734,1138363.1407083748,1199216.7589245571,1202441.4695204506,1206130.232452698,1174210.2499028558
2020-12-07,1177952.246043564,1203677.5130587732,1138637.08021576,1194801.7318173184,1199346.6308363685,1211020.3890518364,1168439.898241694
2020-12-08,1184018.678729416,1205747.029656521,1142280.49666285,1195209.719812466,1200045.2306059608,1213438.9836349504,
2020-12-09,1184040.6172288668,1198680.1631671106,1133866.2084127243,1188082.3127842678,1197924.7211226234,1197524.3050828243,1168401.0406547503
2020-12-10,1181788.1819375765,1197449.490178219,1130995.0147336242,1186611.9696141018,1193627.5287245521,1199919.9863787729,1165700.4383621528
2020-12-11,1180902.0685075533,1193216.1922045862,1131848.3483502928,1182579.9413128628,1196260.424140812,1194455.1187620463,1167530.6155284632
2020-12-14,1168325.0462907564,1185696.9186755335,1131501.0349725082,1178563.8849621548,1189363.1856611976,1192692.5732102557,
2020-12-15,1181973.3897508394,1197631.9642535364,1140259.565746556,1188331.8557606472,1206162.544387699,1221891.075006112,1173471.9557509227
2020-12-16,1174405.195891739,1198083.3313800013,1139755.6725497635,1184570.9788265957,1203444.9176329384,1225558.067818814,1171731.1054983486
2020-12-17,1176907.9804986727,1202379.5408869898,1139623.8251194046,1188270.9982319607,1207321.658111454,1237226.473661365,1177517.0153730328
2020-12-18,1179350.6192964327,1196323.3417941248,1136381.919068257,1184624.457010342,1201424.514121891,1224857.5659925581,1172683.116378473
2020-12-21,1169211.646258713,1205602.3122759974,1133600.591547116,1178159.3869076504,1204859.305602909,1229523.300193773,1174140.2758888672
2020-12-22,1158380.0557168734,1197143.6668826258,1130106.8208450058,1174752.0730229153,1196119.8924330482,1243451.8292227092,1166329.9009131533
2020-12-23,1165132.6635774386,1202736.0797282374,1128830.6673126875,1176815.0460339321,1203763.9682081947,1237896.109547566,1170771.3534583254
